act_au01_89-1,['528_1'-1]
act_au05_67-12,['5319_1'-1,'4791_1'-1,'3295_1'-1,'3077_1'-1,'1311_1'-1,'721_1'-1,'450_1'-1]
act_au05_68-10,['2961_1'-1,'1311_1'-1]
act_au15_54-2,['2947_1'-1]
act_au05_69-10,['7336_1'-1,'5316_1'-1,'3787_1'-1,'394_1'-1]
act_au15_55-2,['2945_1'-1]
act_au05_70-10,['5315_1'-1,'5018_1'-1,'4789_1'-1,'1270_1'-1,'450_1'-1]
act_au15_56-2,[]
act_au05_71-10,['3080_1'-1,'5001_1'-1,'1360_1'-1,'394_1'-1]
act_au23_56-14,['4087_1'-1,'3315_1'-1,'3224_1'-1,'2260_1'-1,'1735_1'-1]
act_au15_57-2,['3050_1'-1,'2942_1'-1]
act_au05_72-10,['3922_1'-1,'4999_1'-1,'3826_1'-1,'1345_1'-1,'450_1'-1]
act_au05_73-10,['7335_1'-1,'4998_1'-1,'4786_1'-1,'2956_1'-1,'388_1'-1]
act_au15_58-1,['7334_1'-1]
act_au05_74-10,['7334_1'-1,'4997_1'-1,'4785_1'-1,'1298_1'-1,'450_1'-1]
act_au15_59-1,[]
act_au05_75-10,['7387_1'-1,'5566_1'-1,'426_1'-1,'4996_1'-1,'4784_1'-1,'450_1'-1]
act_au15_60-1,[]
act_au05_76-10,['3848_1'-1,'5304_1'-1,'4995_1'-1,'4783_1'-1,'2954_1'-1,'1267_1'-1,'421_1'-1]
act_au05_77-10,['7336_1'-1,'4994_1'-1,'4782_1'-1,'1377_1'-1,'2948_1'-1,'1266_1'-1]
act_au17_113-37,['6909_1'-1,'6804_1'-1,'546_1'-1,'6297_1'-1,'5296_1'-1,'5141_1'-1,'4409_1'-1,'2720_1'-1,'3910_1'-1,'1840_1'-1,'3216_1'-1,'2504_1'-1,'2559_1'-1,'1828_1'-1,'1860_1'-1,'1811_1'-1,'934_1'-1,'664_1'-1,'119_1'-1]
act_au05_78-10,['2989_1'-1,'5581_1'-1,'4993_1'-1,'4780_1'-1,'1265_1'-1]
act_au15_61-1,[]
act_au17_114-37,['7333_1'-1,'6693_1'-1,'6588_1'-1,'6296_1'-1,'5917_1'-1,'4159_1'-1,'4737_1'-1,'4315_1'-1,'4052_1'-1,'3215_1'-1,'2979_1'-1,'2787_1'-1,'2669_1'-1,'587_1'-1,'2146_1'-1,'1860_1'-1,'932_1'-1,'663_1'-1,'305_1'-1,'126_1'-1]
act_au05_79-10,['7333_1'-1,'5336_1'-1,'4992_1'-1,'1377_1'-1,'1262_1'-1]
act_au17_115-35,['6692_1'-1,'6294_1'-1,'5915_1'-1,'5801_1'-1,'5137_1'-1,'4889_1'-1,'2564_1'-1,'546_1'-1,'4195_1'-1,'4051_1'-1,'3565_1'-1,'3214_1'-1,'2962_1'-1,'2557_1'-1,'930_1'-1,'663_1'-1,'304_1'-1,'126_1'-1]
act_au23_57-14,['7332_1'-1,'6715_1'-1,'2394_1'-1,'3252_1'-1,'3312_1'-1,'3223_1'-1]
act_au05_80-10,['7332_1'-1,'426_1'-1]
act_au17_116-35,['7331_1'-1,'6907_1'-1,'6691_1'-1,'6291_1'-1,'5800_1'-1,'1738_1'-1,'1639_1'-1,'4407_1'-1,'4312_1'-1,'4194_1'-1,'4050_1'-1,'3906_1'-1,'3719_1'-1,'3564_1'-1,'2556_1'-1,'1840_1'-1,'928_1'-1,'663_1'-1,'58_1'-1]
act_au05_81-9,['7331_1'-1,'5554_1'-1,'4990_1'-1,'348_1'-1]
act_au17_117-35,['4451_1'-1,'6906_1'-1,'2486_1'-1,'6290_1'-1,'5136_1'-1,'378_1'-1,'3905_1'-1,'2262_1'-1,'2960_1'-1,'2783_1'-1,'1773_1'-2,'2554_1'-1,'1594_1'-1,'1183_1'-1,'301_1'-1,'56_1'-1]
act_au05_82-9,['4451_1'-1,'5551_1'-1,'5018_1'-1,'4770_1'-1,'4053_1'-1,'345_1'-1]
act_au17_118-35,['7330_1'-1,'6905_1'-1,'6289_1'-1,'23_1'-1,'5911_1'-1,'2894_1'-1,'5292_1'-1,'5134_1'-1,'3904_1'-1,'3561_1'-1,'3067_1'-1,'2782_1'-1,'2553_1'-1,'1763_1'-1,'1593_1'-1,'924_1'-1,'299_1'-1,'56_1'-1]
act_au05_83-9,['7330_1'-1,'5549_1'-1,'4987_1'-1,'4769_1'-1]
act_au15_62-1,[]
act_au23_58-13,['6714_1'-1,'5947_1'-1,'1587_1'-1,'4336_1'-1,'3906_1'-1,'3221_1'-1,'2021_1'-1,'2255_1'-1,'1976_1'-1]
act_au17_119-35,['6904_1'-1,'6687_1'-1,'6288_1'-1,'4359_1'-1,'5798_1'-1,'5291_1'-1,'2851_1'-1,'4734_1'-1,'378_1'-1,'1626_1'-2,'3716_1'-1,'3560_1'-1,'2958_1'-1,'1815_1'-1,'1841_1'-1,'1762_1'-1,'1592_1'-1,'921_1'-1,'296_1'-1,'54_1'-1]
act_au05_84-9,['5539_1'-1,'5298_1'-1,'4986_1'-1,'4768_1'-1]
act_au15_63-1,[]
act_au17_120-33,['3865_1'-1,'1680_1'-1,'6294_1'-1,'5023_1'-1,'5290_1'-1,'2870_1'-1,'4406_1'-1,'4192_1'-1,'3901_1'-1,'3683_1'-1,'3559_1'-1,'3241_1'-1,'2956_1'-1,'2780_1'-1,'1841_1'-1,'587_1'-1,'81_1'-1,'294_1'-1,'53_1'-1]
act_au05_85-8,['3865_1'-1,'5297_1'-1,'4767_1'-1,'4047_1'-1]
act_au17_121-33,['6686_1'-1,'6582_1'-1,'6286_1'-1,'5910_1'-1,'5795_1'-1,'5289_1'-1,'4732_1'-1,'4405_1'-1,'4309_1'-1,'3109_1'-1,'2778_1'-1,'1832_1'-1,'1761_1'-1,'921_1'-1,'553_1'-1]
act_au05_86-8,['3864_1'-1,'4766_1'-1,'3787_1'-1]
act_au17_122-32,['7329_1'-1,'6800_1'-1,'23_1'-1,'6285_1'-1,'5909_1'-1,'378_1'-1,'5288_1'-1,'5132_1'-1,'4404_1'-1,'4234_1'-1,'2777_1'-1,'2126_1'-1,'1591_1'-1,'918_1'-1]
act_au23_59-13,['7329_1'-1,'1587_1'-1,'5945_1'-1,'5004_1'-1,'4082_1'-1,'3905_1'-1,'3220_1'-1,'2784_1'-1,'2262_1'-1,'1975_1'-1]
act_au05_87-8,['7329_1'-1,'5294_1'-1,'48_1'-1,'4043_1'-1,'1247_1'-1]
act_au15_64-1,[]
act_au17_123-32,['6799_1'-1,'6684_1'-1,'6284_1'-1,'5269_1'-1,'5794_1'-1,'5131_1'-1,'4728_1'-1,'4419_1'-1,'4190_1'-1,'3897_1'-1,'3825_1'-1,'3555_1'-1,'2776_1'-1,'2125_1'-1,'916_1'-1]
act_au05_88-8,['5393_1'-1,'4764_1'-1,'1245_1'-1,'335_1'-1]
act_au15_65-1,['7328_1'-1]
act_au17_124-32,['7328_1'-1,'7119_1'-1,'6798_1'-1,'6283_1'-1,'5286_1'-1,'4881_1'-1,'4312_1'-1,'23_1'-1,'3896_1'-1,'3554_1'-1,'2951_1'-1,'1708_1'-1,'1832_1'-1,'2124_1'-1,'1590_1'-1,'81_1'-1]
act_au05_89-7,['7328_1'-1,'5292_1'-1,'4763_1'-1,'4039_1'-1,'3815_1'-1,'1243_1'-1,'334_1'-1]
act_au15_66-1,['7327_1'-1]
act_au17_125-32,['7327_1'-1,'7125_1'-1,'6900_1'-1,'6797_1'-1,'5285_1'-1,'4879_1'-1,'4188_1'-1,'1626_1'-1,'3895_1'-1,'3862_1'-1,'3712_1'-1,'3553_1'-1,'3205_1'-1,'2774_1'-1,'2123_1'-1,'1759_1'-1,'1589_1'-1,'932_1'-1,'286_1'-1]
act_au05_90-7,['7327_1'-1,'5291_1'-1,'333_1'-1]
act_au15_67-1,[]
act_au17_126-32,['7326_1'-1,'7149_1'-1,'6999_1'-1,'6808_1'-1,'286_1'-1,'4391_1'-1,'5905_1'-1,'5284_1'-1,'5129_1'-1,'4878_1'-1,'4401_1'-1,'583_1'-1,'3894_1'-1,'3823_1'-1,'3038_1'-1,'3552_1'-1,'3204_1'-1,'2949_1'-1,'1832_1'-1,'1758_1'-1,'910_1'-1,'638_1'-1]
act_au05_91-7,['7326_1'-1,'1377_1'-1,'329_1'-1]
act_au23_60-13,['6711_1'-1,'4081_1'-1,'3904_1'-1,'3219_1'-1,'2783_1'-1]
act_au17_127-32,['6681_1'-1,'5283_1'-1,'3181_1'-1,'4722_1'-1,'4307_1'-1,'3893_1'-1,'3822_1'-1,'3711_1'-1,'3203_1'-1,'1832_1'-1,'908_1'-1,'663_1'-1,'283_1'-1]
act_au05_92-6,['5289_1'-1,'450_1'-1]
act_au15_68-1,[]
act_au17_128-31,['7368_1'-1,'7118_1'-1,'4238_1'-1,'6442_1'-1,'5902_1'-1,'5125_1'-1,'4306_1'-1,'4040_1'-1,'3710_1'-1,'1832_1'-1,'1840_1'-1,'587_1'-1,'907_1'-1]
act_au05_93-6,['4031_1'-1,'442_1'-1]
act_au15_69-1,[]
act_au17_129-31,['7324_1'-1,'305_1'-1,'6897_1'-1,'4332_1'-1,'4248_1'-1,'5899_1'-1,'4464_1'-1,'4399_1'-1,'3818_1'-1,'4185_1'-1,'4039_1'-1,'3891_1'-1,'3821_1'-1,'3550_1'-1,'2145_1'-1,'610_1'-1,'81_1'-1]
act_au05_94-6,['7324_1'-1,'5287_1'-1,'322_1'-1]
act_au15_70-1,[]
act_au17_130-31,['7323_1'-1,'7117_1'-1,'2271_1'-1,'5897_1'-1,'4718_1'-1,'3252_1'-1,'3781_1'-1,'3202_1'-1,'1832_1'-1,'2122_1'-1,'81_1'-1,'638_1'-1]
act_au23_61-13,['7323_1'-1,'5938_1'-1,'4998_1'-1,'4100_1'-1,'3217_1'-1,'2782_1'-1,'2244_1'-1,'1970_1'-1,'1587_1'-1]
act_au05_95-6,['7323_1'-1,'5283_1'-1]
act_au15_71-1,[]
act_au17_131-30,['7322_1'-1,'546_1'-1,'5896_1'-1,'4716_1'-1,'4398_1'-1,'4303_1'-1,'3890_1'-1,'3296_1'-1,'3709_1'-1,'2767_1'-1,'2121_1'-1,'1752_1'-1,'1583_1'-1,'81_1'-1,'663_1'-1]
act_au05_96-6,['7322_1'-1,'516_1'-1]
act_au15_72-1,[]
act_au17_132-30,['7321_1'-1,'6894_1'-1,'6795_1'-1,'6677_1'-1,'6579_1'-1,'4869_1'-1,'4397_1'-1,'4034_1'-1,'3820_1'-1,'3764_1'-1,'3201_1'-1,'1840_1'-1,'2137_1'-1,'1751_1'-1,'1582_1'-1,'81_1'-1,'663_1'-1]
act_au05_97-5,['7321_1'-1,'5282_1'-1,'450_1'-1]
act_au15_73-1,[]
act_au17_133-30,['7320_1'-1,'6676_1'-1,'5894_1'-1,'5788_1'-1,'5121_1'-1,'583_1'-1,'655_1'-1,'3818_1'-1,'3707_1'-1,'3068_1'-1,'1839_1'-1,'2149_1'-1,'1750_1'-1,'1581_1'-1,'936_1'-1,'626_1'-1]
act_au05_98-5,['1224_1'-1,'442_1'-1]
act_au17_134-29,['7319_1'-1,'7125_1'-1,'6892_1'-1,'6794_1'-1,'6675_1'-1,'5975_1'-1,'5893_1'-1,'4865_1'-1,'4395_1'-1,'3887_1'-1,'3817_1'-1,'3199_1'-1,'2942_1'-1,'1662_1'-1,'900_1'-1,'643_1'-1]
act_au23_62-13,['7319_1'-1,'5934_1'-1,'4332_1'-1,'3216_1'-1,'2900_1'-1,'2021_1'-1,'1587_1'-1]
act_au15_74-1,[]
act_au05_99-4,['1290_1'-1,'394_1'-1]
act_au17_135-28,['7113_1'-1,'6891_1'-1,'6674_1'-1,'6577_1'-1,'2052_1'-1,'6033_1'-1,'5787_1'-1,'5119_1'-1,'4394_1'-1,'2228_1'-1,'3886_1'-1,'3706_1'-1,'23_1'-1,'3198_1'-1,'1841_1'-1,'81_1'-1,'663_1'-1]
act_au05_100-4,['3036_1'-1]
act_au17_136-27,['6793_1'-1,'70_1'-1,'6576_1'-1,'6270_1'-1,'3181_1'-1,'5118_1'-1,'4393_1'-1,'4028_1'-1,'1832_1'-1,'1749_1'-1,'1578_1'-1,'81_1'-1,'663_1'-1]
act_au15_75-1,[]
act_au05_101-3,['4828_1'-1,'1293_1'-1]
act_au17_137-27,['6889_1'-1,'6672_1'-1,'6575_1'-1,'126_1'-1,'5892_1'-1,'5117_1'-1,'4860_1'-1,'831_1'-1,'3295_1'-1,'3683_1'-1,'2144_1'-1,'1748_1'-1,'932_1'-1]
act_au15_76-1,[]
act_au05_102-3,['1360_1'-1]
act_au17_138-25,['1110_1'-1,'1203_1'-1,'5891_1'-1,'3297_1'-1,'3702_1'-1,'3543_1'-1,'3196_1'-1,'2758_1'-1,'2161_1'-1,'1574_1'-1,'939_1'-1,'663_1'-1]
act_au23_63-12,['2394_1'-1,'4331_1'-1,'3215_1'-1]
act_au05_103-2,['7317_1'-1,'3723_1'-1]
act_au17_139-25,['7317_1'-1,'6887_1'-1,'6717_1'-1,'6573_1'-1,'3683_1'-1,'2911_1'-1,'2451_1'-1,'3801_1'-1,'4299_1'-1,'4027_1'-1,'3882_1'-1,'3816_1'-1,'3195_1'-1,'1832_1'-1,'1573_1'-1,'939_1'-1,'663_1'-1,'23_1'-1]
act_au23_64-12,['2722_1'-1,'4075_1'-1,'3896_1'-1,'3214_1'-1,'2777_1'-1,'2237_1'-1]
act_au05_104-2,['7316_1'-1,'1377_1'-1]
act_au17_140-25,['7316_1'-1,'6670_1'-1,'2682_1'-1,'4391_1'-1,'4298_1'-1,'4026_1'-1,'3881_1'-1,'3295_1'-1,'3194_1'-1,'2754_1'-1,'2116_1'-1,'1747_1'-1,'907_1'-1,'663_1'-1]
act_au05_105-2,['7317_1'-1]
act_au17_141-25,['7317_1'-1,'6885_1'-1,'2682_1'-1,'5783_1'-1,'4858_1'-1,'378_1'-1,'4297_1'-1,'1709_1'-1,'3700_1'-1,'2753_1'-1,'2667_1'-1,'1746_1'-1,'889_1'-1,'663_1'-1]
act_au05_106-2,[]
act_au17_142-24,['3295_1'-1,'6999_1'-1,'6263_1'-1,'5888_1'-1,'5782_1'-1,'4857_1'-1,'3699_1'-1,'1839_1'-1,'2114_1'-1,'1745_1'-1,'1183_1'-1,'541_1'-1]
act_au05_107-2,['4745_1'-1]
act_au17_143-23,['3295_1'-1,'6883_1'-1,'6666_1'-1,'6262_1'-1,'4734_1'-1,'4856_1'-1,'4295_1'-1,'3878_1'-1,'3698_1'-1,'2666_1'-1,'2163_1'-1,'1815_1'-1,'1568_1'-1,'1183_1'-1]
act_au15_77-1,[]
act_au05_108-2,['4744_1'-1]
act_au17_144-21,['2872_1'-1,'6789_1'-1,'6665_1'-1,'627_1'-1,'5781_1'-1,'3697_1'-1,'2751_1'-1,'53_1'-1,'2146_1'-1,'1817_1'-1,'900_1'-1]
act_au23_65-12,['7315_1'-1,'6702_1'-1,'3895_1'-1,'3223_1'-1]
act_au15_78-1,[]
act_au05_109-2,[]
act_au17_145-21,['3818_1'-1,'4853_1'-1,'4389_1'-1,'2590_1'-1,'3696_1'-1,'1744_1'-1,'885_1'-1]
act_au05_110-2,['7314_1'-1]
act_au15_79-1,[]
act_au17_146-20,['23_1'-1,'6918_1'-1,'6787_1'-1,'1626_1'-1,'587_1'-1,'4852_1'-1,'4388_1'-1,'4294_1'-1,'3814_1'-1,'3695_1'-1,'2665_1'-1,'1773_1'-1]
act_au05_111-2,['7313_1'-1]
act_au15_80-1,[]
act_au17_147-19,['583_1'-1,'6664_1'-1,'6568_1'-1,'5882_1'-1,'3813_1'-1,'3189_1'-1,'2664_1'-1,'1840_1'-1,'1743_1'-1]
act_au23_66-12,['6701_1'-1,'4074_1'-1,'3894_1'-1,'2262_1'-1,'1573_1'-1]
act_au01_1-23,['7312_1'-1,'7065_1'-1,'7009_1'-1,'6746_1'-1,'5774_1'-1,'5262_1'-1,'5012_1'-1,'3975_1'-1,'4701_1'-1,'3772_1'-1,'811_1'-1]
act_au17_148-18,['6567_1'-1,'4292_1'-1,'3874_1'-1,'3197_1'-1,'2663_1'-1,'2149_1'-1]
act_au23_67-12,['4073_1'-1,'2394_1'-1,'3211_1'-1]
act_au17_149-15,['7310_1'-1,'5881_1'-1,'3873_1'-1,'2745_1'-1,'2113_1'-1]
act_au15_81-1,[]
act_au23_68-12,['1689_1'-1,'4986_1'-1,'3891_1'-1,'2394_1'-1,'2772_1'-1]
act_au17_150-14,['6878_1'-1,'2872_1'-1,'2894_1'-1,'4386_1'-1,'4290_1'-1,'3296_1'-1,'2744_1'-1,'2161_1'-1,'4_1'-1]
act_au17_151-1,[]
act_au23_69-11,['7309_1'-1,'4328_1'-1,'4069_1'-1,'3252_1'-1]
act_au15_82-1,['7309_1'-1]
act_au17_152-1,[]
act_au23_70-11,['7308_1'-1,'5925_1'-1,'4982_1'-1,'4068_1'-1]
act_au15_83-1,['7307_1'-1]
act_au17_153-1,[]
act_au23_71-11,['7305_1'-1,'6692_1'-1,'4980_1'-1,'3888_1'-1,'1951_1'-1]
act_au15_84-1,['7304_1'-1]
act_au17_154-1,[]
act_au23_72-10,['7303_1'-1,'2592_1'-1,'4979_1'-1,'4062_1'-1,'3887_1'-1,'3206_1'-1,'2037_1'-1]
act_au17_155-1,['7301_1'-1]
act_au23_73-10,['7301_1'-1,'5922_1'-1,'4977_1'-1,'4325_1'-1,'4060_1'-1,'3205_1'-1,'2760_1'-1]
act_au17_156-1,['7299_1'-1]
act_au23_74-10,['7299_1'-1,'1680_1'-1,'4976_1'-1,'4324_1'-1,'3884_1'-1,'2758_1'-1]
act_au17_157-1,['7298_1'-1]
act_au23_75-10,['7298_1'-1,'6686_1'-1,'4974_1'-1,'4058_1'-1,'3883_1'-1,'1587_1'-1]
act_au02_1-46,['4481_1'-2,'7213_1'-1,'7109_1'-1,'946_1'-1,'6777_1'-1,'6396_1'-1,'3012_1'-1,'6192_1'-1,'5279_1'-1,'4383_1'-1,'2844_1'-1,'3684_1'-1,'3505_1'-1,'3151_1'-1,'2940_1'-1,'2741_1'-1,'2661_1'-1,'1296_1'-1,'1209_1'-1,'539_1'-1]
act_au04_1-48,['7624_1'-1,'7306_1'-1,'7294_1'-1,'7215_1'-1,'7110_1'-1,'6875_1'-1,'6252_1'-1,'5535_1'-1,'5399_1'-1,'5114_1'-1,'4945_1'-1,'4712_1'-1,'4480_1'-1,'1414_1'-2,'3838_1'-1,'3810_1'-1,'3304_1'-1,'2728_1'-1,'1739_1'-1,'672_1'-1,'537_1'-1]
act_au06_1-15,['7624_1'-1,'6431_1'-1,'5728_1'-1,'4712_1'-1,'4016_1'-1,'3660_1'-1,'2601_1'-1,'1214_1'-1,'281_1'-1]
act_au07_1-50,['7624_1'-1,'7410_1'-1,'7296_1'-1,'7106_1'-1,'7009_1'-1,'6255_1'-1,'1845_1'-2,'5768_1'-1,'5536_1'-1,'5279_1'-1,'4946_1'-1,'4848_1'-1,'4712_1'-1,'512_1'-1,'3867_1'-1,'3693_1'-1,'3184_1'-1,'3071_1'-1,'2940_1'-1,'1737_1'-1,'2551_1'-1,'2217_1'-1,'1561_1'-1,'1214_1'-1,'539_1'-1,'280_1'-1]
act_au09_1-23,['7624_1'-1,'7195_1'-1,'1147_1'-1,'6255_1'-1,'1072_1'-1,'4343_1'-1,'4280_1'-1,'1925_1'-1,'1726_1'-1,'1202_1'-1,'883_1'-1,'671_1'-1,'177_1'-1]
act_au10_1-50,['7624_1'-1,'2694_1'-1,'6661_1'-1,'6563_1'-1,'6431_1'-1,'6255_1'-1,'5877_1'-1,'5772_1'-1,'5524_1'-1,'5402_1'-1,'5278_1'-1,'5114_1'-1,'4946_1'-1,'4841_1'-1,'4712_1'-1,'4477_1'-1,'4384_1'-1,'4287_1'-1,'3868_1'-1,'3539_1'-1,'3297_1'-1,'3074_1'-1,'2741_1'-1,'2551_1'-1,'2428_1'-1,'2221_1'-1,'2111_1'-1,'1838_1'-1,'1741_1'-1,'1364_1'-1,'1214_1'-1,'882_1'-1,'659_1'-1]
act_au11_1-29,['7624_1'-1,'7409_1'-1,'7191_1'-1,'6426_1'-1,'6255_1'-1,'5275_1'-1,'4901_1'-1,'3675_1'-1,'3536_1'-1,'2551_1'-1,'2111_1'-1,'1565_1'-1,'1212_1'-1,'608_1'-1,'529_1'-1,'267_1'-1]
act_au12_1-16,['7624_1'-1,'6431_1'-1,'6255_1'-1,'4712_1'-1,'156_1'-1,'244_1'-1,'2111_1'-1,'1214_1'-1,'717_1'-1,'281_1'-1]
act_au14_1-39,['7624_1'-1,'7196_1'-1,'7110_1'-1,'710_1'-1,'3807_1'-1,'6431_1'-1,'6255_1'-1,'5818_1'-1,'5764_1'-1,'5279_1'-1,'4712_1'-1,'4479_1'-1,'541_1'-1,'4179_1'-1,'4022_1'-1,'3810_1'-1,'3693_1'-1,'3539_1'-1,'2939_1'-1,'2331_1'-1,'2111_1'-1,'1844_1'-1,'1566_1'-1,'1214_1'-1,'672_1'-1,'281_1'-1]
act_au20_1-32,['7624_1'-1,'7303_1'-1,'7091_1'-1,'6829_1'-1,'6254_1'-1,'5861_1'-1,'5764_1'-1,'5512_1'-1,'5108_1'-1,'4567_1'-1,'4175_1'-1,'3539_1'-1,'2353_1'-1,'2111_1'-1,'1741_1'-1,'1566_1'-1,'1364_1'-1,'769_1'-1,'515_1'-1]
act_au25_1-38,['7624_1'-1,'7292_1'-1,'6715_1'-1,'6495_1'-1,'5868_1'-1,'5774_1'-1,'5534_1'-1,'4993_1'-1,'4712_1'-1,'4158_1'-1,'4010_1'-1,'3860_1'-1,'3219_1'-1,'2603_1'-1,'2425_1'-1,'2217_1'-1,'1724_1'-1,'1364_1'-1,'1214_1'-1,'720_1'-1,'582_1'-1,'539_1'-1]
act_au02_2-45,['7405_1'-1,'7212_1'-1,'7003_1'-1,'6869_1'-1,'6773_1'-1,'5978_1'-1,'5998_1'-1,'5397_1'-1,'5278_1'-1,'4945_1'-1,'3541_1'-1,'4480_1'-1,'3802_1'-1,'3677_1'-1,'3499_1'-1,'534_1'-1,'2939_1'-1,'1836_1'-1,'1206_1'-1,'649_1'-1,'537_1'-1,'48_1'-1]
act_au04_2-48,['7623_1'-1,'7293_1'-1,'7109_1'-1,'6873_1'-1,'17_1'-1,'6427_1'-1,'6059_1'-1,'489_1'-1,'4844_1'-1,'4710_1'-1,'4280_1'-1,'4172_1'-1,'3535_1'-1,'3289_1'-1,'3177_1'-1,'2659_1'-1,'1844_1'-1,'1726_1'-1,'1562_1'-1,'1350_1'-1,'1213_1'-1,'670_1'-1]
act_au06_2-13,['7623_1'-1,'5726_1'-1,'4710_1'-1,'3510_1'-1,'2599_1'-1]
act_au07_2-50,['7623_1'-1,'7402_1'-1,'7205_1'-1,'6661_1'-1,'6563_1'-1,'5878_1'-1,'5765_1'-1,'4945_1'-1,'4708_1'-1,'2852_1'-1,'4281_1'-1,'4016_1'-1,'3260_1'-1,'3689_1'-1,'1496_1'-1,'3292_1'-1,'3182_1'-1,'3065_1'-1,'2939_1'-1,'2725_1'-1,'2655_1'-1,'1844_1'-1,'1358_1'-1,'1213_1'-1,'671_1'-1]
act_au09_2-16,['7623_1'-1,'6677_1'-1,'6634_1'-1,'1147_1'-1,'5726_1'-1,'3684_1'-1,'1675_1'-1,'1182_1'-1]
act_au10_2-50,['7623_1'-1,'6511_1'-1,'378_1'-1,'6875_1'-1,'4415_1'-1,'2270_1'-1,'6254_1'-1,'760_1'-1,'5522_1'-1,'431_1'-1,'5112_1'-1,'4839_1'-1,'4475_1'-1,'4383_1'-1,'4284_1'-1,'4019_1'-1,'3867_1'-1,'3689_1'-1,'3536_1'-1,'2720_1'-1,'3072_1'-1,'2739_1'-1,'2660_1'-1,'2547_1'-1,'211_1'-1,'2109_1'-1,'1740_1'-1,'1562_1'-1,'878_1'-1,'648_1'-1,'524_1'-1]
act_au11_2-27,['7623_1'-1,'7157_1'-1,'6564_1'-1,'6247_1'-1,'5612_1'-1,'5272_1'-1,'4898_1'-1,'4836_1'-1,'2096_1'-1,'4016_1'-1,'1104_1'-1,'2914_1'-1,'2533_1'-1,'2106_1'-1,'502_1'-1,'265_1'-1]
act_au12_2-16,['7623_1'-1,'7365_1'-1,'6724_1'-1,'6429_1'-1,'6254_1'-1,'5745_1'-1,'4016_1'-1,'3666_1'-1,'2680_1'-1,'2210_1'-1,'2109_1'-1,'1213_1'-1]
act_au14_2-38,['7623_1'-1,'7108_1'-1,'6779_1'-1,'6429_1'-1,'6254_1'-1,'675_1'-1,'5760_1'-1,'5278_1'-1,'4899_1'-1,'4079_1'-1,'4709_1'-1,'4188_1'-1,'4177_1'-1,'2438_1'-1,'2219_1'-1,'1213_1'-1,'740_1'-1,'669_1'-1]
act_au20_2-29,['7623_1'-1,'7299_1'-1,'7194_1'-1,'6781_1'-1,'6249_1'-1,'3538_1'-1,'2623_1'-1,'2350_1'-1,'2109_1'-1,'1565_1'-1,'1363_1'-1,'578_1'-1,'511_1'-1,'226_1'-1]
act_au25_2-35,['7623_1'-1,'7194_1'-1,'6702_1'-1,'6358_1'-1,'5950_1'-1,'4889_1'-1,'4709_1'-1,'4274_1'-1,'4009_1'-1,'2600_1'-1,'2546_1'-1,'2160_1'-1,'1363_1'-1,'1213_1'-1,'578_1'-1,'515_1'-1]
act_au04_3-48,['7301_1'-1,'7292_1'-1,'7209_1'-1,'7106_1'-1,'6758_1'-1,'6426_1'-1,'6245_1'-1,'6059_1'-1,'5878_1'-1,'5767_1'-1,'5528_1'-1,'5396_1'-1,'5270_1'-1,'4708_1'-1,'4170_1'-1,'4001_1'-1,'3829_1'-1,'3684_1'-1,'3528_1'-1,'3279_1'-1,'3173_1'-1,'2549_1'-1,'2425_1'-1,'2202_1'-1,'1843_1'-1,'1719_1'-1,'1561_1'-1,'1344_1'-1,'212_1'-1,'881_1'-1,'669_1'-1]
act_au06_3-11,['7622_1'-1,'5725_1'-1,'4708_1'-1,'273_1'-1]
act_au07_3-50,['7622_1'-1,'4037_1'-1,'7194_1'-1,'5532_1'-2,'2445_1'-1,'6427_1'-1,'4213_1'-1,'5359_1'-1,'5275_1'-1,'4707_1'-1,'4476_1'-1,'4280_1'-1,'4177_1'-1,'4011_1'-1,'3854_1'-1,'592_1'-1,'3290_1'-1,'3053_1'-1,'2936_1'-1,'2653_1'-1,'2414_1'-1,'1739_1'-1,'1557_1'-1,'1211_1'-1,'670_1'-1,'532_1'-1]
act_au10_3-50,['7622_1'-1,'7285_1'-1,'7195_1'-1,'7059_1'-1,'5524_1'-1,'6657_1'-1,'6560_1'-1,'6427_1'-1,'5876_1'-1,'2586_1'-1,'4826_1'-1,'4708_1'-1,'4474_1'-1,'4282_1'-1,'3866_1'-1,'3806_1'-1,'3687_1'-1,'1104_1'-1,'3292_1'-1,'2930_1'-1,'2726_1'-1,'2546_1'-1,'1560_1'-1]
act_au11_3-27,['7622_1'-1,'7400_1'-1,'6563_1'-1,'6050_1'-1,'5590_1'-1,'5267_1'-1,'4657_1'-1,'3662_1'-1,'1104_1'-1,'1550_1'-1,'2529_1'-1,'2248_1'-1,'2103_1'-1,'1562_1'-1]
act_au12_3-15,['7622_1'-1,'7307_1'-1,'6717_1'-1,'6252_1'-1,'5737_1'-1,'4708_1'-1,'244_1'-1,'2106_1'-1,'696_1'-1]
act_au20_3-26,['7622_1'-1,'7298_1'-1,'7189_1'-1,'4155_1'-1,'6247_1'-1,'2342_1'-1,'4159_1'-1,'4172_1'-1,'1899_1'-1,'2677_1'-1,'2344_1'-1,'1563_1'-1,'1361_1'-1,'1178_1'-1,'759_1'-1,'501_1'-1,'226_1'-1]
